  Tweets,Hasil
"Iyasi, tapi kan janda yg lain banyak. Yg kamu sebutin top tier selebriti perempuan dengan status pernikahan yg sama, jadi seakan mengarah ke nyamain mereka secara karir🙂",0
kalo nonton drama yang zombie zombie ataubmonster gitu aku suka kepikiran gimana nasib para selebriti disana ya,0
"Allure Korea memasukkan Jungkook &amp; Jingoo ke dalam daftar pertemanan Selebriti di industri hiburan.
Jungkook &amp; aktor Jingoo memiliki konsonan yang sama pada nama mereka: 'ᄌᄀ', dan keduanya lahir pada tahun 1997. Dikatakan bahwa mereka menjadi dekat karena teman yang sama.",0
Oh insert selebriti yg di tipi ntu yhh wkwk kirain apa tadii,0
"Ya Allah semoga di 🇮🇩 nanti yg seberuntung ini bukan artis, selebriti medsos &amp; keluarganya",0
"Ada beberapa jawaban dan fakta mengejutkan yang diungkap oleh Zara, selebriti berzodiak Gemini di sesi Fame Facts kali ini. Seperti apa selengkapnya?",0
"angjay bawa bawa kai exo, that’s the point ngab. brand mewah kaga butuh butuh amat selebriti papan atas buat promosiin brand nya, karna brand nya sendiri udah gede. mereka butuh orang orang yg emang fashion nya bagus dan sesuai sama image si brand",0
"Ternyata gak cuma industri selebriti Indonesia aja yg masih demen pake aktor dan aktris problematik, western juga sama. Hadeuhhh. Kaya gaada selebritis lain aja, kan banyak yg berbakat dan punya etika yg baik.",-1
"Hahahha .... beneran Oma.
Malah sy mah seringnya di skip aja klo ada berita ttg selebriti.
Kadang sk cm settingan doank",0
Send monies selebriti buana,0
"Bukan yang pertama dan bukan selebriti mas, tapi mbk marissa anita i sexynya gada obat 🥵",1
"Menurut Good Data, Aktor Lee Je Hoon kembali menempati urutan pertama sebagai selebriti yang paling banyak dibicarakan. Lee Je Hoon menempati urutan pertama sebanyak 4x beruntun.
🔗 :",0
we love twitter where gosip perselingkuhan selebriti bisa sekaligus membahas ilmu kedokteran,1
setiap ada selebriti cowok yg selingkuh pasti mulai bermunculan mbak2 avkor yg tiba2 punya trust issues sm cowok pdhl dia lg jomblo,-1
"Kalo misalkan elu miskin, tolong hindari rest area, mall, restoran bintang 5, restoran milik selebriti atau chef yg udah ""punya nama"" ya. Gua ngerinya lu mati berdiri pas mau bayar",-1
"lewat di depan fitnes selebriti, langsung dikejar sama salesnya untuk ikut gabung. mungkin karen keliatam kurus kali ya? 😂",1
"Tweetnya ga sesuai brief mas ini topik selebriti, hubungi kakak pembinanya lagi ya",0
"ㅤ
kepada archi sebelum aku bergegas memacu royal enfield-ku meninggalkan mansion untuk sementara waktu.
sudah rahasia umum. kehidupan dan relasi selebriti tidak selalu seindah rasi bintang—dan aku pasti akan menjadi bintang yang meredup dan mati.
ㅤ",0
"“How was your day?”
“Any plans for tomorrow?”
“Kalo refreshing suka ke mana?”
“Kamu ngikutin berita selebriti ga? Do you have any idols? Mau ceritain soal mereka ga?”",0
yakin banget ashun punya ins sama twt buat ngepoin selebriti western kesukaan dia,0
"Flashback 8 tahun silam di program Super Chef 😎 bersama para peserta artis yang lomba memasak lobster hidup!
Nah selain bantu tag akun selebriti lainnya yang ada di foto ini yah 🙏
• Edwin Lau •",0
"— Daytime Star
artnya cakep. couple sat set, gk miss com, saling melengkapi. dijamin bikin iri. romance di dunia selebriti gitu. kl kalian mw baca, ak pen blg sesuatu ""SYUKURIN HAHAHA DAH TIKET HARIAN, MANG EAKK😜😜"" semangat ya kl mau baca soalnya hrs nunggu wkwkwk",1
"Without saying your age, who was your first celebrity crush?
gatau selebriti apa bukan, tapi dari smp uda sering pasang dp bbm foto linka, pas zaman sering endorse baju distro 🤣",0
"Device deep fakenya berupa screen. Tiga (live) images bisa diliat: muka gw, muka selebriti, dan hasil deep fake. Kurleb seperti gini:",0
"Paradigma konservasi jenis ID hanya melindungi satwanya saja, terbukti dengan semua satwa selebriti. Ketika mendorong SRAK Rangkong Gading berupaya merubah itu dengan mengedepankan konservasi insitu jenis dan habitat management…. Tapi yah long way up..",0
menurut gw wartawan / jurnalis yg datengin selebriti pas lg nyekar di makam keluarganya trs di wawancarain tuh gak etis bgt.. apalagi yg baru banget berduka why would you do that?? just leave them alone?? 😭😭,-1
"Ramai2 kasus BIMA mengkritik kpd Pemerintahan di Lampung mendapat support dr para nitizen. Akhirnya si Bima viral jadi terkenal & menjadi selebriti baru. Namun saat dia meng-up kritik lain tapi ""kurang"" menggunakan adab ketimuran, para nitizen justru balik membully nya. Disinilah perlunya para generasi Z perlu belajar mendahulukan adab ketimuran.",0
"not true. kebetulan aja semua model-model iklan kecantikan atau selebriti dll umumnya pada dari jawa jadi (scr ga langsung) wajah jawa yg paling sering muncul jadi key visual
padahal cantik itu relatip",0
"nggak paham sama orang yg ngehate idol, artis, selebriti tp sambil ngetag di sosial media. orang yg ngehate itu benci atau jengkel krn nggak bs dapatin apa yg dimiliki idol atau artis. selain itu nyari attention.",-1
Bias kita mah firendly Lisa itu ibarat positive vibes banget jadi banyak yang suka dikalangan selebriti luar negeri juga jadi ga heran sih 😏,1
"berita selebriti sebelah emg ninggalin bekas luka yang mendalam dan jujur aja aku juga ovt in hc kok, tapi bisa stop ga sih ngomongin bundir gini ke hc, kasian hc nya. tugas kita sbg fans cukup support dan doain idol aja tau, jgn ngait’in kata meninggal trs, ksian hc nya.",-1
Nungguin thread outfit lebaran selebriti,0
"Iya apalagi makanan, iming2 punya selebriti/gram tau2 gak laku soalnya ga enak/overpriced 😵‍💫
.
Emg harus tunjukin gaya donk biar org percaya. Tp yg punya MLM n org kaya dr orok sih gak type pamer2 hedon soalnya takut dikuntit org pajak wkwkwk",-1
Tapi ini kayak terlalu random gitu. Kalau temenan sama raline itu biasa karna sama selebriti. Ini tu sama director hospital. Ngapain coba. 🤣,0
"ada yang komen kya ""stop this korean entertainment bla bla bla"" karena kejadian kya gini terulang lagi, itu mereka yg kya gitu perlu buka google dan search kasus bundir di korsel dan itu emang tinggi, gak cuma selebriti aja orang biasa pun banyak yg ngelakuin itu disana...",-1
"katanya dateng gak liat konten tapi liat selebriti cenah
🤣🤣🤣🤣🤣🤣🤣🤣",1
jeonghan joshua down to earth 🫴🏻 pdhl selebriti papan atas dgn penjualan album ±17M 🙏🏻,1
"Suatu hari guru gue nanya ke gue dan temen gue: Lu mau jadi apa?
Temen gue: terkenal
Aku: Rich
Guruku nunjuk aku yg bener lol. Materialistic, tapi realistis. Jdi terkenal doesnt mean kamu kaya (buktinya aja banyak selebriti akhirnya miskin), tpi kalau kamu berkecukupan &gt;",0
"Akun Twitter yg dulunya dapet bluecheckmark sebelum blue check mark itu berbayar sekarang banyak yg kena revoked /removed blue check mark nya, walaupun itu akun selebriti/artis yg jumlah followernya jutaan. 😂😂😂 gegara ga mau bayar. or might be forgotten to update the payment details.",0
"Setelah sebagian besar masa remajanya udah disorot spotlight, gue rasa wajar banyak yg ga siap/ga mau masuk dunia entertainment. Wajar aja kalo banyak yg ga mau lanjut jd selebriti, jd aktris, artis dll.
At the end of the day, pilihan karir ya ada di tangan mereka sendiri.",0
Sayang tia semuanyaa pokoknya kita harus tetap konsiten updatee semuaaa hal mulai dari gosip selebriti sampe war tetangga sendiri😭😭 sehaaat terus sampe gw jadi istri kedua chen❤️😭,1
"Kalau menurutku sih ada kak, fans kan yg bikin anaknya terkenal dan dikenal, mereka adalah target/pasar dari konten si anak yg dibuat sama ortunya. Mungkin ortu baby Issa ga se-eksploitatif selebriti lainnya, dan itu bagus. Ada supply ada demand.",0
"Sakura itu selebriti terkenal jadi wajar donk netizen nyari dan nanya ""Where's Sakura?"" Soalnya foto solo 4 member yang lain di upload sedangkan sakura gk ada. Jadi wajar donk di tanya tapi malah playfic dan seolah kami itu ""villain""",0
"Emng jadi selebriti juga ga seenak yg diliat, bisa aj ketawa², beli apa aja gampang, but we never kniw right? Manusia ga yg tau",0
"in masterchef selebriti msia when the challenge was to recreate a dish that their mothers used to make for them when they were little and michael ang said in the confessional ""mak aku pernah masak ke? dalam hati aku cuba ingat balik"" while mumbling ""bibik, bibik, bibik""",0
"Mengangkat bahu ia kemudian, ""Pernah dengar kalau banyak selebriti dan アイドル memajang milik mereka di sana,"" Berkat tutur samar-samar para remaja di Shibuya tempo hari, gadis ninja ini kembali memenuhi pundi-pundi pengetahuan seputar lokasi populer di negeri matahari terbit.",0
"Gaboleeee. Ibaratnya seokjin skrg lagi jadi abdi negara korea, bukan sebagai selebriti/artist dibawah bighit. So bighit aint allowed to post anything about him, mau di yt, twt, ig agensi. Beda lagi kalo di insta pribadi seokjinnya gt my",0
"no aku masih bahas yang straight, i mean komik straight tuh banyak banget yg original works dan memang ditujukan buat cewek
simply karena cewek suka yang cantik-cantik makanya aktor bxb/bxg women-centric tuh semua cakep",0
"CIX make me feel amaze, they're not just good at sing but they acting is so sooo good, kaya aktor drama😭💖
beneran sekeren itu, mv nya juga meaningful💌💖
hopefully CIX sukses terus dimasa depan, bersinar, para member sehat, dan cb mereka lancar jaya+makin banyak yg sayang!🌷💌",1
"Soalnya byk bgt artis Spotify yang namanya boynextdoor, yg pake spasi semua lah, yg namanya boys next door lah Takut non fans jg susah nyari akun Spotify mereka:(",0
"Malam ini, para pemirsa MNCTV akan dimanjakan suguhan spesial dari para sederet artis dan penyanyi ternama Tanah Air di konser musik spesial Road to Kilau Raya.",0
Numpang tanya SBY itu seniman atau artis yaaa ...kok selama bersemayam di istana bisa menelorkan 5 album 😁😁😁,1
I’m alright 🫶🏻 sibuk sibuk shooting aja nih jd artis papan triplek 😩🫶🏻,-1
"Trus orang2 suk cranky “artisnya ga keliatan! Cuma nonton hikmahnya doang!”
Lah kalau artis u segede BP mah yakali promotor make venue kecil wkw. Orang ma nyari vibe concertnya bukan pengen dinotis.",0
"Lebay banget , diindonesia ga gitu amat woi, mereka cm foto, bukan vidioin... Tapi okelah krn mrk artis... Publik figur, jadi apa2 skrg disorot.. emg harus hati2 aja",-1
"Contoh artis mandiri..
Udh ada labelsj pun tetep ae dia promosi sendiri🤣🤣🤣 gue ampe heran kok posternya full english, sejak kapan kyu jago english..
Taunya dibikinin sama jjaann🫠🫠🫠
Tp gpp yg penting gua sayang kyumbul😚😚😚😚😚😚",0
"Udh kek lg interogasi artis yg dicurigai punya hubungan, saling lempar pertanyaan 😔",0
gapernah ngeship artis indo tp livy tomo gemes bngt anjir,1
"Terdapat beberapa artis yang tuai kritikan saat jadi host, lantaran pembawaan hingga tingkah mereka dinilai merusak suasana acara.",0
"Beberapa artis Hollywood mengalami gangguan pendengaran atau tuli. Meski memiliki keterbatasan, mereka telah lama menjadi bagian dari industri hiburan.",0
Iya. Senengnya geger!! Padahal ya yg diributin sesuatu yg selama ini ya dilakuin. Siapa sih yg kenal wakil rakyat … selain para artis yg lalu unfaedah itu!,-1
"lima ratu ribu dulu, baru bisa salaman sama artis.😎😎",0
"5 Artis Korea yang Hadiri Festival Film Cannes 2023, Jennie BLACKPINK Dipuji Cantik",0
"5 Artis Korea Ini Bertemu Jodohnya Lewat Kencan Buta, bak Takdir",0
"Suka karyanya
Seringnya aku ga tau judul sama penyanyi, tapi tau lagunya
Dan aku ga tau ada apa sama siapa, jadi ga bakal ngeh juga ketika artis tsb ada skandal. Kecuali kebetulan lewat twt waktu lagi on. Tapi meski tau ya udah cuman baca, abis itu tetap dengar lagunya",1
"Bener banget, kita ga bisa ngontrol gimana kelakuan fans yang ga join grup dnabs atau follow admin² dnabs yang selalu positive vibes. Aku dulu pun sempat ngefans beberapa penyanyi/artis dan hal kayak gini tuh ga bisa dihindarkan pasti ada aja oknum fans begitu :')",1
Perindo All out artis TV gini edan,-1
Benar. Pd bilang akan lebih baik di nyanyikan oleh Artis lain. Yg buat lagu2 itu makin terlihat berkelas dan indah ya krn di nyanyiin oleh Jimin dgn suara uniknya. Coba lihat sdh berapa banyak Lie di cover sama artis lain tp maaf aku gak melihat mendekati streaming yg dilakukan++,1
Terus Apa alasan kita gak suka liat artis punya hubungan atau Nikah sekalipun kalau mereka sebahagia ini... Tayang kuuuu 🥹🥹🥹,0
"Kalau tukang sayur cerai, mantan istri gak ada gue dgr minta puluhan juta tiap bulan.... Nah kalau artis sering banget, iya kalau dipakai terus sama ph atau TV, kalau sepi job dpt duit puluhan juta dr mana? Konyol juga seh permintaan biaya tetap.",-1
"ga sopan lo nder main foto tanpa izin, meskipun mereka artis mereka juga punya privasi kali. keep it yourself.",1
kalau artis contohnya siapa?,0
Pendapatan terbesar dr artis kpop kn emg dr konser,0
"Kok ada sih orang yg mau jadi Copycat?? Yakali setiap gw ganti PP ikutan ganti yg temanya sama, gw suka lagu baru ikutan suka, ngefans sama artis ini juga ikutan, gw punya pacar ikutan juga njirr. Padahal sebelumnya kagak suka sama sekali anjirrrr.",-1
"suka sebagai artis doang, kayak cowo cowo juga pasti suka sama beberapa artis cewe",0
Iya wkwk kalopun tau ya cuma karena ngefans sama 1-2 org aja dan belum rela spend uang segitu banyak demi nonton acara yg lbh banyak artis gak dikenalnya,0
Lelah sih iya tapi ngga kerasa sih saking sibuknya tuh sampai ngga ada waktu buat ngerasain apa-apa yang kayak gitu HAHAHA. Kalau kamu artis apa?,-1
Iya padahal tinggal bales artis overated yg jarang main pilem tapi entah kenapa diundang mulu ke festival2 film,-1
Opini jelek dr buzzer emak2 berhijab di rl yg pakai ava artis thai.,-1
"Viral skandal artis tiktok 😱
Cek link ada di ferofil di bio
bokep indo viral terbaru Vidio Indonesia colmek
Link Full Vidio ada di Atas:⤴️⤴️🤤",-1
emang kaga ada yg bener. cuma org aneh yg nawarin perintilan punya artis trs ngasih ke penonton tp consent artisnya. dan orang aneh lainnya yg proudly bawa balik itu semua. yall are weird sumpah gws deh,-1
artis dangdut favv neh,1
"Langsung laporin aja ke sm indo, biar kapok manusia begini. Ga tau ribetnya kena hukum ama agensi gede, terlebih kalo si artis ga terima.",-1
"akhirnya jadi artis beneran ya riw? udah kagak pake pintu pintuan lagi.. ADUH GUE UDAH BUCIN BANGET SAMA PINTU ELU, SEKARANG MAKIN BUCIN SAMA ORANGNYA",1
"Klo kt orang kpop cuma fase..tp buat gue bangtan itu fase terindah dan berharga. Karena impactnya luar biasa buat hidup gue. Gue sering mengidolakan artis. Sesuka itu dan berhenti. Krn yg gue suka cuma gantengnya, vibesnya. Tp klo bangtan beda, personality nya karya2nya.",1
Daftar film Indonesia tayang Juni 2023 sangat beragam. Salah satunya Buya Hamka Vol II yang dibintangi oleh artis Vino G Bastian dan Laudya Cynthia Bella.,0
Nama Fadly Faisal ikut menjadi sorotan menyusul beredarnya video asusila yang diduga pacarnya artis Rebecca Klopper.Baru baru ini Fadly memaerkan rumah barunya.,0
"Bukan si artis yg bikin lo bertahan hidup
Tapi si artis &amp; penggemarnya kudu sama2 menguatkan. Mereka jg sama kyk kita. Mereka terang2an pengecut, mereka terang2an byk kekurangan, tapi ga berhenti buat berkembang.
Ya gitu. Ya ga? ayo ke indo kita ngopi luwak bareng",-1
Wah masuk circle artis,0
"Artis nggak bisa pilih fans
Nggak sengaja tapi ternyata ngepas baru kejadian sama artis lain
Serius itu jahat banget
Tapi yang begini apa bisa disebut fans?",-1
Oh kalo artis beneran gpp si 😁,-1
"Mereka bukan caleg no urut 1, makanya menolak tertutup..
Sistem tertutup akan menutup peluang artis dan politisi dgn modal uang besar masuk senayan..
Yg sinting, bukan artis, jg bukan politis kaya tp nolak sistem tertutup..",-1
Anj ni artis bner² bikin emosi,-1
Pernah ketemu sama artis atau musisi idola kamu gak sih phoeners ? Cerita sama kita di,0
"Menurut ku karena pilkada DKI Jakarta thn 2012 sih, Euforia masyarakat sangat tinggi untuk mengikuti pemilu, karena kampanyenya melibatkan banyak artis &amp; buzzer.
Pada saat itu, dunia media sosial di Indonesia memang sedang berkembang pesat, terutama Twitter. Lanjut ke Pilpres.",-1
"gakpapa sih soalnya pacarku jg banyak, tpi tergantung artis atau bukannya sih",0
"Hayoo mana nih orang yg suka bilang 'ngartis lo!' ke orang yg sering banget slow respon, eh sekarang malah dianya sendiri yg mulai ngerasa males buka pesan whatsapp padal ga lgi ada masalah sama orng lain. Gimana tuh rasanya jd artis???",-1
Sejumlah artis Hollywood penyandang disabilitas. Tom Cruise yang sukses membintangi banyak judul film menambah jajaran daftar artis yang menyandang disabilitas.,0
"Waw ini hotel baru bgttt
Gw pribadi udah ga pernah liat crew artis yg udah bisa dikategorikan internasional nginap di hotel 4⭐ mainnya di public pool pula (itu area lvl 16 klo gasalah).
Biasanya stay di 5⭐ trus diem ae di Ex-L makan cantique 😅
Respect..",1
"Bukan artis sih tapi content creator tiktok tau gak akun Sangkara yang suka dibilang cowok ghibli itu, nah pacarnya yang suka dibilang kakak jastip kuliah di UT juga, kalo gak salah Manajemen deh jurusannya, gw fans mereka omg",1
"Orang yg punya ig digembok tp gapernah ngepost di beranda sama story nya bertaun taun tu punya gangguan hidup apa si anjing
Sok artis banget",-1
"mahendra ramadhan, sistem informasi. artis kalo di chat termasuk ga?",0
"Aku mimpi random bgt
1. Waktu kondangan nikahan, ada lagu exo terus tiba2 chanyeol sama kai nge dance di depan kursi tamu, terus aku ikutan jg. Tapi disini mereka tamu undangan biasa bukan jadi artis 😭
2. Kyungsoo spam foto di bbl, foto premiere the moon, selca bareng sehun 😭",1
"Bedanya dia artis, public figur dan wajar dikomentarin bukan gua aja yg komentar lah lu siape tiba2 ngedoain org yg kagak kenal ? Ngakak 🤣🤣🤣",-1
"Liat deh lucu bgt Ajun nongol di live-nya anak t01. Berarti change mereka (artis sm trainee wekwon) ketemu tuh gede kan ya ....
LU PAHAM GA SIH MAKSUD GUE WVDJDKENJEKEKEKEOSW 👀🤪🤫",1
Kalo artis/idol/tokoh publik sih gapapa. Kalo bukan yaa sakit hti lah wkwkw,0
"km siapa sih mark, artis kah, dm ku gapernah dibls 😔",-1
"kl artis ya gpp, dianya juga gatau pacarku hidup",1
"gua gabisa ni kalo ngandelin gaji bulanan doang, apa jadi artis tato aja ya🤔",0
tergantung idolanya. kalo artis gpp,1
"Hp bagiku , sebuah untuk hilang kan jenuh....
Hp juga bisa untuk mencari ilmu akhirat...
Melihat dan mendengar kan nasehat dari Habib, itulah sebuah sarana untuk memperbaiki akhlak sendiri 😌.
Boleh cinta KPop,dan artis .tapi pada tempatnya.
Beda dengan seseorang yang kamu cinta.",0
"Kalau yg diidolain artis b aja, dia tau lu hidup aja kagak",1
Idolainnya artis kan? Bisa sih tp ya emg pastj cemburu wkwkwkwk padahal ak jg menggilai Chanyeol.,1
Aku ngikutin artis kpop lain. 2019 aku sibuk ngebucin pdx 101 kim mingkyu. Sampe akhirnya aku balik lagi kemereka setelah nama fandom MOA dikeluarin. 2020 aku juga sibuk bagi hati sama anak² iland si heeseung. Tapii cuma sampe debut mereka aku ga ngikutin lagi. Kenapa?,0
"list artis indo yg pengen bgt gue nonton konsernya
1. sheila on 7
2. dewa 19
3. ahmad dhani aja juga boleh
4. tulus",0
Idolain cowo atau cewe itu maksudnya gimana? Kaya artis kah? Isokey lah,1
"Siap2 dah artis laen yg comeback juni juli. Juni ada lyw, juli ada newjeans",1
Asli baru gugling td gak engeh. Ternyata artis bokep😠,-1
"Cewe sm cewe bahas cowo trus artis wkwk trus julidin orang wkwk
Cewe sm cowo bahas kiamat sm World War😭
Tp beneran loh, ya ga semuanya bahas yg berat² tp seringnya berat 😭",-1
Mirip kaya artis ya,1
"""posting istri terus, ngrasa paling bahagia ?, Ngrasa best couple gt ? Atau ngrasa si paling ber istri ? Budaya kyk gini bikin kita nggak awere sama mental healt, skip si artis satu ini""
Gitu kali ya",-1
Wah artis cari cuannya sekarang di politik lbh menguntungkan ya,1
"gibahin org/crush, merencanakan liburan, curhat ttg kehidupan, bhs kpn nikahh, bahas berita terkini biasanya pembunuhan atau artis yg sering wkwkw, bhs cara biar kaya tp cmn rebahan dirumah",0
frfr satusatunya SOD employee yang gw suka. berharap dia debut jadi artis SOD beneran eh malah grad😭😭padahal film dia yang sama yuki cakep banget aktingnya,1
emang ada artis ngabarin 3 bulan sekali😒,0
Yg bikin mahal soalnya balapan internasional + dpt makan full + full indoor + benefits lainnya yg salah satunya dpt akses ekskulsif ntn live performance artis” indo. Plus ad Alan Walker juga wkwk kita mah rakyat ikan mupeng aja dulu 🙃,0
"kalau seandainya hal kedua yg terjadi artinya emang pasar Jepang belum siap untuk dunia internasional.... mereka perlu berbenah lagi buat nambahin akses yg sesuai u/ fans over seas.
cth aja siapa sangka after pandemi byk artis mulai bernegosiasi dengan cara upload MV di YT",1
yg kalo bales chat udh kayak artis papan atas🫠,-1
dia kalo pake itu jadi kayak bukan artis masa,-1
"Selain ngurusin kehidupan artis, Hal paling gak penting di dunia ini adalah berantem gara2 bola dan indomie pake nasi.",-1
"Kpop, artis, mereview rang orang",0
"Balikin aja ke ortunya.. nggak ada guna juga RT tanpa ada kedekatan secara emosional, mumpung belum punya anak.
Masak, nyetrika, siapin sarapan itu bukan pekerjaan. Itu salahsatu cara untuk saling memahami hingga tercipta rasa kasih sayang.
Mungkin ceweknya artis tiktod kali ya",-1
"ini.. ngingetin gue sama artis th... wow:)
.
.",0
"cewe, temen, orang tua, politik, dajjal kapan ke bumi, teori bumi datar, bola, artis",0
Mana hapus tato lebih mahal drpd bikin hahaha mau tato apapun ya harusnya kasih design - rescale - tracing (digambar ulang sama tato artis) - sketch - baru kerjain,0
Temanan sama artis aja kadang bikin ga nyaman karena sering dikepoin. Gimana jadi pacar artis. Ngebayangin harus bisa ngimbangin dia dan kuat mental dari serangan fans yg fanatik.,0
"jujur iya seru banget, paling seneng sama lagu yg dibawain sama artis-artis yg ikut kolaborasinya",1
"ga adaa yg 1 gitu ga adaa cuma aku klo liat artis terus bajunya bagus kadang jadi sukaa, biasanya ga 1 artis doang",1
(((temen w yg artis))) APAANSI jaehyun x ah sipaling artis,-1
"Aku udah dinotice dan difollow artis nih, tp kamu kok belum chat?",-1
gw kemarin weekend main kerumah temen w yg artis kan trs dia nanya lu gak ke ice gt trs kata gw gak gw gasuka bts sukanya nct doang kpop skrg trs kata dia oh yang ijo2 itu ya BJIRRRR temen w ini gaada suka2nya sm korea tp tau nct=ijo 🥲🥲🥲🥲🥲🥲,0
"siang jd artis
malem penjual tabung gas nun",0
"Tanpa harus koar2 kok kaya artis unfoll blabla ada postingan
TEMENAN YUK 💚 drop ""✖️"" abis kita reply di like dulu, tunggu maks tiga hari atau kapan 2 hari sehari terserah,karena limit sekarang nyampe 3 hari,saran 3 sih,balik lagi ke tweet tadi unfoll yg ga follback,simple",0
"Satu-satunya grup army yg gue punya dan ini jg baru join gc lagiㅠㅠ. Dulu mah punya 3 grup, pertama grup nobar (karena w panitia wkwk), terus kedua grup yg bahas Bighit artis juga si.
Btw grup yg ini awet banget, awalnya 2017 bikin di line trus 2019 pindah ke wa.♥️",0
"kalopun bener jadi ba scarlet, semoga member di treat dg baik dan bagus, dan klo bisa cukup ngadain fanmeet aja. Tolong banget inimah gausa dibawa diajakin ngonten ke rumah2 artis, cukup mereka diketemuin sama exol aja udah terimakasih banget😭🙏🏻",1
Aneh yah padahal artis koneng lain udah pada centang kuning,-1
"Ga pernah ngurusin kehidupan rumah tangga artis, tapi Desta Natasha woe ahhhh whyyy :(",1
"cuman mau berharap, exo nanti nggak usah koleb2 ama artis2 indo ...Sumpah dah please bgt😭🙏 jujur nggak suka ama artis indo cuman mau nyari cuan doang nantikk😭",-1
udah kaya akun yg suka ngespill artis korea oplas apa aja 😭,-1
"Ya yaudah,kan si sender tanya nya setuju/gak yg otomatis nanyain pendapat pada setuju apa kaga. Knp jdi ngmongin band lain? Pdhl sender nya jg udh nyantumin ""KONSER APAPUN"",jd udh mrujuk ke konser artis/band lain kan????",-1
"Gak be ga gitu juga lah ,dah bisa uwak itu kesting jdi artis 🙃",0
