Tweet,Hasil
udah belajar selama jadi BA tokped dia wkwkwk. kupikir tokped sponsorin loh pas awal² diumumin doi mau konser,0
Coba di tokped sudah ta mbak ? Apa hunting aja di offline store 😁,0
"Halo, aku besok mau ke BTS Pop Up store di ICE BSD (28 Mei 2023). Kalo ada yg mau jastip, silakan. Fee 10-25k tergantung size barang. Tp krn msh baru, aku blm ada shopee/tokped. Jd blm ada free ongkir. Dp 30% ya, baru dibelikan. Kl hnr, dp akan hangus.",0
"Waktu dedek bayi masuk usia 40hari, kita (ortu) sepakat untuk mengadakan aqiqah. Karena debaynya cowok kan sunahnya cmiiw 2 kambing/domba, maka dengan dana yg cukup seadanya, kami sepakat untuk mencari penyedia aqiqah di tokped yg paling terjangkau.",0
JUJUR IY tp tokped kek . displayny ad yg amiss gtau ap,-1
"Di tokped ada sih, PO, dan masih mahal ~",-1
"Lama2 guru ada di shopee, tokped wkwk😅",0
"pake tokped, xa, kemaren temen kantor dapet 600k-an",1
Kadang lupa kalo yoongi cs itu ba tokped 🥲🙏🏻,1
Karna hp rusak w cuman bisa scroll twitter aja skrg jirrr😭 bosen bgt.. ig cm bentar soalnya bosan. Gabisa buka wasap dan lain lain huhu. Mau buka tokped jg kek males soalnya livinnya di hp😩😩,0
Ada di tokped yg 1kg 🤣 te sampe 10 menit so habis ba kunyah,1
"gokil emang yamaha, kmrn beli motor lewat tokped jg gitu dianter nya dr sukabumi ke depok 🤣",1
"udah gapernah lagi beli apa2 via gojek (kecuali emg tiba2 ada saldo aja gitu si gopay), dah gasuka lagi belanja di tokped krn dirasa sangat tida worth ketimbang kompetitor oren…
alasannya 1, itu mahal banget gilaakkk ketimbang kompetitor sebelahnya wkwkw
bye bye go-to 👋",-1
"Soal minat baca masih tinggi mah masih deh, soalnya big bad wolf sama books and beyond kl di tokped malah banyak yg beli",0
"Baru diupload, udah langsung dibeli. Luar biasa.
Yuk bisa dicek toko Bro&amp;Co di tokped biar bisa segera dikosongin komik2nya",0
"Studio tropik setting spray dream setter ungu kak 130ml. Bisa via shopee gratong xtra, tokped, tiktok 😊.",0
"Jateng kak tapi bisa via shopee gratong xtra, tiktok, tokped 😊.",0
"Kenapa flazz ga bisa di top up di gopay, shopee, tokped etc😠 bisanya emoney doang, payahhh👎🏻",-1
"yoongi semakin melokal👍🏼
day 3 bakal ngomong apanih? harusnya dia promoin gojek sm tokped ya, biar kaya samsung 😂😂",1
"Victoria’s secret love spell body lotion 236ml. New &amp; ori. 150.000 only bisa via shopee gratong xtra, tokped, tiktok. Boleh nego tipis 😊.",1
"Toko offline? Kalau offline dimaps namanya Crackedattic. Ini ada dishopee/tiktokshop, sama tokped juga",0
"Liat2 di tokped atau toko oren aja kak. Banyak yg jual. Ada yg versi lama, ada yg baru. Ada yg brand new, ada yg refurbished. Rata-rata mulai dari 1jt, tapi kalo hoki ada yg dibawah 1 dikit.",0
tokped aja serem yaa suka di bawa kabur😔 huhu,-1
"oiya benernya 200, itu lom di ubah di tokped, nih otw ubah ya",0
"Gua beli di tokped sekitar 1,2 juta",0
Emang scroll tokped dan Pinterest paling susah berhenti 😌,0
halo -rek aku lagi jual snack import dan sudah halal yaa. bisa langsung mampir ke shopee : cameralmond atau di tokped : galaxtrica atau bs dm 🥰❤,1
"wtb voucher diskon pulsa ovo/tokped/dana/shopee/lazada/tiktok apapun deh terserah, drop fee yaa",0
Suruh minum tolak angin tapi belinya di tokped,0
"Biaya lain2 tokped sekali trnsaksi 2500 x junlah warga indonesia
Itu bru tokped
Belum lainya hahaa",-1
"Buka tokped ngeliat harganya kok murah2 ya itu. Pas buka amazonjp, kok tai ya harganya.",-1
"ke belakang dikit arah tokped nder, samping menara standard cahrtered (kalok gk salah), ada parki motor umum",0
anjrottttt setelah tokped dengan biaya aplikasi 2000 muncul shopee dengan biaya penanganan 11000,-1
ngeri kieu potongan tokped seler melemahkan pedagang😭,-1
"mimin tokped tolong kasih ke aku satu 😭😭😭😭
Yoongi notice aku",0
Ini kan gue besok ada rencana ke pulau main di laut tapi karna ban berenang yang bangus harganya mahal jadinya beli kasur angin di tokped,0
"dikasih temenku baru balik dari aussie, tp karena ini enak terus berencana repurchase jadi td cek tokped cuma ada jastip",0
"Nanti pelunasannya bisa di shoppe atau tokped kak, dpnya manual gopay/mandiri",0
instan co nya lewat tokped 440k yaa,0
"Nanti bakal open po dulu kok, jadi untuk co nya bisa tokped sama shopee",0
"tumben diriku milih2 hp di tokped, biasanya langsung ke toko",0
"aku kena mental pas naksir ribbit wkwkwk naksir pas awal kolek belom tau kalo pc itu mahal💔 nyari sampe mengacak-acak dunia, twitter, tokped, shopee😹 akhirnya dapet di shopee😭🙏🏼 kalo gadapet kyknya aku stress🥹🥹🥹",0
"bisa cek di app pembayaran online, ovo/ tokped bisa nanti ada opsi pajak pbb, terus tinggal pilih prov &amp; kota tempat tinggal, cek pajak tahun brp dan tinggal masukin nomor objek pajak nya aja kak",0
"aku nemu kemaren di tokped 404k, interest?",0
pernah dpt tp isinya dari tokped nder wkwk,0
"Punya pengalaman lagi bahas sama temen tentang sampo kucing di whatsapp dan iklan di tokped, website, youtube, dll langsung bermunculan produk sampo kucing. Hmmm",0
"Selamat sore, saya ingin menjual beberapa buku preloved.
Pengiriman dari Depok. Pembayaran bisa transfer dan tokped (up 8,5%)
Silakan, apresiasi utk RT dan like nya.",0
Daaah aku tim sc kak dah ikut po di tokped,0
"Di tokped tiap jumat beauty flash friday tiap jam 9 pagi, produknya berubah mulu si tapi produk itu suka langganan",1
"Voucher toko yg nanggung seller, kayak tokped misal ada diskon itu dipotong dari dana yg masuk ke seller",0
Ada yang tau cara batalin pesanan di tokped tapi posisi kita as seller ga ya?,0
tergantung apoteknya jg nder kadang ada yg perlu fisik. kalo ak biasanya beli di tokped kan harus upload resep jg tinggal ss aja yg dr hldoc. Harga lbh murah sih menurut ku drpd apotik hldoc langsung,0
need gestun instan kredivo yang bisa tokped,0
"Jersey LIGINA, harga Size kondisi dll ada di pict. Tokped shopee gass",0
"Bonus dari aku:
- Jelly phone case
- Charger
- Screen anti-crack
Bisa dm dan tanya2 dulu via dm^^
Spesifikasi bisa dicek di pic ya
✅️ boleh nego, tp jangan sadis ya
✅️ COD Semarang only (preferred)
✅️ Bisa shopee, tokped",0
"beli barang di tokped tapi salah nulis alamat &amp; no hp wkwkwkwk
bisa ga ya dirubah karena sekarang posisi paket udah di jakarta",0
Gw dapat promo 20rb di tokped aja udh senang banget,1
Bsa beli d tokped bayar pke goco,0
wtb iPhone di bawah 4jt yang bisa pake shopee/tokped. yang jual bisa rep disini yaa,0
jeleknya tokped tuh kalau pakai freeong ga bisa milih ekspedisi &amp; seringnya dapat yg economy🥲 kalau shopee masih bisa milih,-1
"kalo gini rasanya mau sungkem sama tokped, gonna rewatch 10000x 🥹",1
"Home,away SMLXL,2XL 249rb
Poloshirt Black XL,2XL k275rb. 5XL 289rb
*Note utk home kerah rada kemeraha
*Via tokped +admin
DM/WA Nitip om thx",0
skema tokped glhfson 🤝🏻 drama bocil windah = aldi taher monster marketing,-1
"Iyaa wkwkwk. Barusan banget download tokped, trus bikin akun, eh malah planga plongo.🧍‍♀️🧍‍♀️",0
Ya Allah gue kagok banget make tokped. 😭👎🏻,-1
"Heran si maha benar kayanya netijen tuh.
Anw guys siapa tau ada yg mau beli iphone 11/64gb, pemakaian 4bulan, bh 100%, boleh langsung dm ya.
Bisa cicilan via shopee atau tokped kok.",0
"Baru browsing browsing tentang bengkel cat langsung muncul iklan di ig, produk obat poles juga langsung muncul di shopee dan tokped 👏🏻👏🏻👏🏻",1
Kok g ada ya di aq tokped yg 25k,0
masi setia bolak balik tokped nunggu t-shirt partai restock,0
"Beli barang dari tgl 25, sama2 dari Jakarta, yg di tokped statusnya uda di kurir mau antar ke tujuan, yg di shopi malah masih dikemas terus aja ga jalan2",-1
"Daging slice atau steak?
Klo steak keknya resto steak jual paket bekunya deh, holycow jual di tokped tuh, tinggal oseng doang di rumah. 😂
Klo slice andalan gue [IG] dia juga jual steak, salmon, dll..",0
"Sama, terhutang sejak 2017 embuh duite lari kemana.
Langsung bayar via tokped selesai.",0
"Min tokped ayoo pilih akuuu😭
Yoongi notice aku",0
Dari tadi coba tokped gagal mulu anjeng,-1
"Anyway sorry gua spam ya 🙏 gua pengen menang AB SE ato gak lanyard BT21 nya 😭 barang yang gua butuhin banget, kalau dapat tinggal nonton konsernya aja, please banget semoga di lirik tokped 🤧",0
hi kak aku punya yaa day 3 bs via shopee tokped 🤍,1
"Jersey Liverpool Home 2021/2022 Original Nike
Player name : Trent Alexander-Arnold
Size : M
Panjang : 73cm
Lebar : 52cm
Mint condition
Harga 550k
Rekber shopee/tokped
Wa 085161373905
Pengiriman dari Depok
Detail by wa/dm
Titip lagi om",1
Aku ada tp dom Tasik. Bisa tokped/shupi kaak,0
cara dpt gratong di tokped gmn kuk?,0
"work! gaji magang/intern yang bisa sampe umr jakarta selain tokped, unilever, ruangguru di perusahaan apa aja yaa?",0
update dua brifter meluncur ke jakarta ya via tokped,0
"Kalo ada yang mutualnya iarmy dan belom ada pc tokped, berkabar aja wakk",0
"Kaya beberapa bulan lalu ada jordan low blue/concrete rilis di toko offline harganya 1,6 sampe mikir mau checkout (sadly gua telat taunya jadi udah sold out) terus gua cek kickave sama reseller terkenal di tokped dong. Eh si anjink jual di harga 3 juta tot.",0
"200 lepas ga bang,rakber shoppe tokped kalo ada",0
di tokped bisa kayaknya bayar pake gopay 100 perak,0
"▪️masuk
Kredivo via tokped 1.5jt
Akulaku via tiktokshop 2.5jt
Akulaku via tiktokshop 6jt
Yuk sini yang mau cairin paylatter kredivo, spaylatter akulaku Traveloka vn &amp; non vn, GopayLatter, all paylater. bisa banget ke dira ya💗",0
"Eh ga lama buka IG masa isinya iklan mulai dari shopee, tokped, dll dan itu bener2 sweater yg lagi dia pake dengan brand yg sama dan semua area komplit nongol mulai dari west, south, north, east gitu deh
Sampe skrg masih ngerasa aneh aja kenapa bisa gitu, ngeriii sumpah",1
"atau Best offers ke sini start 100 semua. masih murah"". BIN dijamin dibawah tokped",0
ini adminnya gaptek kah? atau baru pertama kali buka projek? masa fanbase gede gini ngga bisa pake shopee/tokped 😑,-1
Di toko buku naoko tokped ada kak,0
"• Persebaya H&amp;A kids
• Juventus away 2022
• Persiba home 2014
• Arema Jaket
Detil di pic
Transaksi via tokped : DM/WA Nitip RT om thanks 🙏",0
Di tokped ada yang jual 700 ribu tanpa tanda tangan :)))) udah langka banget ya,0
"ada cara lain ko yg bisa langsung dpt pc, beli bundling di tokped anteraja,beli frozenfood, sama kirim paket trs pake kode yang",0
"Hallo kaaa, kita sudah open gestun yaa 💞😍Bri ceria via tokped Sungg cair after co ya kaa 🤗💞",1
"Hallo kaaa, kita sudah open gestunn yaa 💞😍Gopay later atau cicil via tokped Sung cair after co ya kaa 🤗💞",1
"Hallo kaaa, kita sudah open gestun yaa 💞😍Kredivo via tokped atau shopeeeee Sung cair after co yaa kaa 🤗💞",1
Ak ad mark lemon 115k slight damage cc tipis bgt d blkng dom palembang bisa keep shopee tokped tiktokshop,0
Siapp kakk rencananya emg mau beli di tokped 😁,1
Keterangan di apps sapawarga dan tokped bilangnya bawa ktp doang soalnya,0
"Tahun ini urus pajak mobil sendiri gak lewat agen. Udh bayar di tokped. Udh bela2in dtg ke samsat sabtu pagi eh bukti pembayaran mesti diprint, ktp mesti difotocopy. Yasalam. Ribet. Sabtu tutup jam 11 dan di samsat (tumben) fa ada tempat print. Ribet bet bet dah",1
"Kebetulan itu, tp kalo ada iklan tokped di IG yg ada gambar barang kesukaan kita/yg mau kita beli itu krn dia pake data analysis di hp kita",0
Kudu lewat tokped ya cik wkwk,1
"open gestun kredivo, tokped, gopaylater, spaylater, akulaku merchant, akulaku by token, akulaku by bukalapak, akulaku by tiktok, traveloka vn, credit card, bri ceria, dll
yuk lgsg chat akuu testi ratusan 💸",1
"ceceku takut bgt kalau aku bilang mau beli sesuatu di shopee trs pake CC,ada temennya kebobol hbs transaksi di tokped wkwwkkw kdg blnja di toko offline skg cicilannya pake mesinnya blibli itu jg takut dia 😅",-1
"enggak kak, aku jarang sih klo buat makan paling buat co di tokped/syopi karena mls pake debit jd pake kredit dan bisa aja nominal kecill😂",1
"1. Persija Training 2022 l Rp 349.900 l M, L
2. Persija Pre-Season 2022 l Rp 399.900 l M, L
3. Persija Home 2022 PI l Rp 799.900 l M, L
4. Persija Away 2022 PI l Rp 799.900 l L
nego monggo
tokped shopee bs
CP: 083856577011 (WA)
Makasih",0
"1. B. United Home 2022 l M, L
2. B. United Away 2022 l M
3. B. United 3rd 2022 l L
4. B. United GK Home 2022 l L
5. B. United GK Away 2022 l L
Rp 549.800 (free keychain)
nego monggo
shopee tokped bs
CP : 083856577011 (WA)
Terima kasih puh",0
"Sulut United H 21/22 PI XXL BNWOT 299k
Indonesia Training 18/20 XL BNWT 450k
PPSM 102th XL BNWT 250k
Free ongkir via tokped
WA: 081224552225
Izin tagnya min 🙏🏼",0
"Ponakan lulus2an SD, gua tanya mau kado apa, mintanya Album New Jeans yang Hanni. Gua ubek2 tokped, kagak nemu, pas googling ternyata Hanni nama personelnya, gua kira nama albumnya. Sekarang gua tau semua nama personelnya. Yawlaaa.. 😭",0
Asli tokped notif nya aneh aneh😭,-1
di shopee ada di tokped ada,0
/tanya info kode diskon pembayaran listrik di tokped dong,0
Enak bayar dewe nder . D tokped atau gopay bisa,1
"OPEN JASTIP BBW - Big Bad Wolf ICE BSD OPEN 27-28 MEI ONLY
☆°_________________________°☆
-Fee jastip 5-10K
-Live Shopping Instagram -DOM Tangsel
-DP 50% (Pelunasan via shopee/tokped)
-Free dicarikan bukunya",0
Lah tokped udh ga gratong full lg yg dilayani tokopedia? Kemaren2 beli detergen masih gratong 😭😭,-1
"Selamat pagi!
Yang udah gajian dan mau jajan2 silakan ya. Hari ini lengkap semua varian molen dan pempek. Lagi ada diskon juga kalo belanjanya di tokped ya teman2.
Silakaaaan 🥰🙏",1
"emang sekarang paling aman bayar langsung di idm atau dibank jatim kalo ga mau antri ya e wallet, aku biasa pake tokped. Aman. Bukti bayarnya disimpen aja, soalnya kita ga pernah tau kapan sistem error🫶🏻",0
"ya kena tipu kamu nder
lagian kenapa beli di Twitter
kan ada oren,tokped atau lewat m-banking jg bisa",-1
get 42k tapi metode nya beli pulsa di tokped ka🙏,0
"Edisi gajian , Tawarin novel kalian dong, yang harganya make sense aku take. Yang bisa via shoppe / tokped ya",1
"udah sarapan, mandi, nyuci, checkout di tokped. yh btul saatnya lanjut molor lagi",1
"Hallo kaaa, kita sudah open gestun yaa 💞😍Bri ceria via tokped Sung cair after co ya kaa 🤗💞",0
"Hallo kaaa, kita sudah open gestun yaa 💞😍Indodana via tokped Sung cair after co ya kaa 🤗💞",0
"Hallo kaaa, kita sudah open gestun yaa 💞😍Gopay later atau cicil via tokped Sung cair after co ya kaa 🤗💞",0
"Hallo kaaa, kita sudah open gestun yaa 💞😍Kredivo via tokped atau shopeeeee Sung cair after co ya kaa 🤗💞",0
"Jasa titip/timbun paket juga avail yaa 🙆🏻‍♀️
✮ dom: sidoarjo, jawa timur.
✮ fee: start from 2k/resi
✮ co by: shopee (xtra) / tokped (bebas ongkir)",1
"Persik kediri away, liga 1 2019, M, nns ori, patch minus noda, bnwt, 275k
Persik kediri away, liga 2 2018, M, nns ori, bnwot, jersey juara, 315k
Cp 0888-0975-dua495
Bisa rekber tokped 🙏",1
"Haii aku open gestunn spaylatter, tokped dan lain nyaa, bisa wa untuk fast responn, testi on pinned!!",1
"Di form kan aku minta usn shopee, nanti kkak tulis aja 'tokped' + usn",0
Wqduh tokped ngapa ada biaya macem2nya sih anjirr,-1
hi kak aku punya day 2 java jazz ya bisa dm :) bs via tokped shopee 🤍,1
"Jersey Timnas Sea Games 2023. Hanya size L, harga 250k, bisa tmbh nns poly remake +50k. Bisa via tokped +4,5% biaya admin. Beli 3 atau lebih dpt potongan.",1
Aku ada 11 64 new iBox sama second ibox bisa tokped kaak,1
"aku wkt itu beli di tokped, mungkin di syopi juga adaa",1
For sale lepas kolpri Stone Island Micro Reps size XL very good condition untuk info harga dll lanjut DM atau langsung wa 087802772996 cod sekitaran bandung kota atau via tokped,1
"gestun by iqoch✨🧚🏻‍♀️
yang mau cairin spaylater, yup, gopaylater melalui co tokped/spay/qris bisa dm aku yaaa!!🧚🏻‍♀️",0
"Kalau mau hemat lagi, pesan lewat kita cuma 300an kak ☺️
Bisa pakai tokped/shopee🙏",1
"tokped ini emang ngebadut. kasih gratong, tapi ada biaya jasa aplikasi sama layanan. migren aing 😓",-1
"6.
1. Monyet-monyet bodoh. (Karena monyet dan bodoh)
2. (selalu siap saya tanya-tanya)
3. (gak suka tokped apalagi tiktokshop)",0
"Tokped mah sellernya ga ngotak daaah gue mau beli handuk produk us di sana cm $15 di tokped 1,5jt ada gila2nya",-1
Wtb iphone 11 yang kalo bisa cod di sekitar tangerang kota atau bisa beli lewat shp/tokped,1
ya sie tp ternyata ada di tokped hihi,0
"Pernah kak, fs nya mirip tokped cpet cpetan klik co",0
"betull!
kalo km blm pengen keluar budget banyak, nyelem di tokped, trust me, km bakalan nemu cd west harga murce &amp; original, CUMANNN hati hati yaa, banyak cd west yg palsu soalnya",0
"GASSSSSSSSSSSS
kalo artis terbaru rd stock disini kalo semacem little mix/doja/taylor, aku po di !! bisa persod juga
cuman kalo mau cari cd lama, aku nyelem di tokped",1
tolong ini di retweet sampe top komen dritdi org komen pda ribut duit gojek tokped gaji😭,0
cahol clear ini open po kembali tanggal 6 juni yaa. sistemnya co shopee / tokped. Limited stock only 🛒:,1
"1. kanemory udon sapi
• rating: 4/5
• harga: 30-35rb • review:
rasanya bersih bgt, gak gurih bikin pusing. saran penyajiannya direbus, cuma bisa jg pakai microwave! amaze bgt sama dagingnya, 10 menit udah dapet proper meal. cuma ada di aeon, tp bisa beli di tokped jg yaa",1
cuma bisa buat tokped sm goride yah?,0
"Ni komennya pada lucu"" .. Emosi marah"" soal naiknya tarif gojek, tokped, masalah potongan sementara nadiem kan bkn CEO dan pengambil keputusan perusahaan tsb. Klu sdh spt itu ya ganti aja pakai layanan lain ✌.",0
"bs pake miconazole/ketoconazole. jgn sampe kejilat tp yaa. atau bs pake salep ijo khusus jamur punya doknyom di tokped. belinya di tokped aja ya soalnya dia cuma punya toko disitu, tp harus sabar juga krn vetnya ruameee😭👍🏻 fyi doknyom tu vet yg udh terkenal jd dah pasti aman 👍🏻",1
tokped kan buat barang elektronik mas,0
"Dan sering terjadi klo pesan barang pake tokped, mau kurirnya syp aje",0
Tipe itu wk. Ndek tokped hargane range 300-500rban,0
"Tambahan : *Belum bisa pake tokped/Shopee, cod menyesuaikan waktu saya🙏🙏
*transfer&gt;kirim video detail sebelum kirim&gt;no resi&gt;received&gt;done.
*Upgradeable ram 12 dan SSD *Garansi sebulan (no human error)
*Bonus Tas dan Mouse
*Kurang jelas bisa WA",0
Yoiiiii... Mang pantek duo corsearch sm tokped,-1
Aku keseringan dpt promo skincare bombastis di ecommerce jd td ke fdx rasanya biasa aja wkwkwkwk alias tiap dateng ke booth apa gt mikir “lah masi murah di shopee tokped waktu lg promo” alhamdulillah jd hemat ga impulsif 🙂🙏,1
"dr pagi hingga malam ini?
dng jawaban yg sama?
tanpa hasil?
anda merugikan konsumen, yg jelas2 reseller pun mempertanyakan kendala ini ke anda sbg pihak tokped",0
ebuset ini tokped ngapa lemot bgt siii GUE MAU BAYARRR ELAHHHH,-1
Scan gopay aja bang buat belanja di tokped beli hp samsung,0
Di tokped beli polo shirt 3 pcs gak sampe 299 udah termasuk ongkir. Kualitas bisa banget diadu sama Uniqlo.,1
"Di tokped aing mah disaranin na, meh leuwih murah saeutik ieu",1
"min gmn ya, saya mau transaksi di tokped, pas masukan pin gopay salah Mulu, padahal udah benar, sampe ganti pin gopay,tapi tetep gabisa transaksi min",0
